match_id,balls_per_over,team1,team2,gender,season,date,venue,city,toss_winner,toss_decision,player_of_match,umpire1,umpire2,tv_umpire,match_referee,winner,winner_runs,winner_wickets,outcome,bowl_out,reserve_umpire,event,match_number,method,eliminator,toss_uncontested
1303313,6,New Zealand,Ireland,male,2022,2022-07-20,"Civil Service Cricket Club, Stormont, Belfast",Belfast,Ireland,field,D Cleaver,AG Wharf,PA Reynolds,R Black,K Gallagher,New Zealand,88,NA,NA,NA,AJ Neill,New Zealand tour of Ireland,2,NA,NA,NA
1303314,6,Ireland,New Zealand,male,2022,2022-07-22,"Civil Service Cricket Club, Stormont, Belfast",Belfast,Ireland,bat,GD Phillips,AG Wharf,R Black,PA Reynolds,G McCrea,New Zealand,NA,6,NA,NA,AJ Neill,New Zealand tour of Ireland,3,NA,NA,NA
1321281,6,Austria,Luxembourg,male,2022,2022-07-24,Tikkurila Cricket Ground,Vantaa,Luxembourg,field,Sahel Zadran,A Paleker,M Jameson,NA,NA,Austria,36,NA,NA,NA,S Fernando,ICC Men's T20 World Cup Sub Regional Europe Qualifier,1,NA,NA,NA
1321282,6,Estonia,Norway,male,2022,2022-07-24,Kerava National Cricket Ground,Kerava,Estonia,bat,Raza Iqbal,J Jensen,S Kuchimanchi,NA,GH Pienaar,Norway,NA,10,NA,NA,SB Ravindra,ICC Men's T20 World Cup Sub Regional Europe Qualifier,2,NA,NA,NA
1321283,6,Guernsey,Bulgaria,male,2022,2022-07-24,Tikkurila Cricket Ground,Vantaa,Bulgaria,field,T Nightingale,M Jameson,S Fernando,NA,GH Pienaar,Guernsey,52,NA,NA,NA,A Paleker,ICC Men's T20 World Cup Sub Regional Europe Qualifier,3,D/L,NA,NA
1321284,6,France,Czech Republic,male,2022,2022-07-24,Kerava National Cricket Ground,Kerava,Czech Republic,field,G Mckeon,J Jensen,SB Ravindra,NA,GH Pienaar,France,51,NA,NA,NA,S Kuchimanchi,ICC Men's T20 World Cup Sub Regional Europe Qualifier,4,NA,NA,NA
1321286,6,Austria,Slovenia,male,2022,2022-07-25,Kerava National Cricket Ground,Kerava,Slovenia,field,Mirza Ahsan,S Fernando,S Kuchimanchi,NA,GH Pienaar,Austria,141,NA,NA,NA,M Jameson,ICC Men's T20 World Cup Sub Regional Europe Qualifier,6,NA,NA,NA
1321287,6,France,Switzerland,male,2022,2022-07-25,Tikkurila Cricket Ground,Vantaa,France,bat,NA,A Paleker,SB Ravindra,NA,NA,Switzerland,NA,1,NA,NA,NA,ICC Men's T20 World Cup Sub Regional Europe Qualifier,7,NA,NA,NA
1321288,6,Guernsey,Luxembourg,male,2022,2022-07-25,Kerava National Cricket Ground,Kerava,Luxembourg,field,SKS Gill,M Jameson,S Kuchimanchi,NA,GH Pienaar,Guernsey,17,NA,NA,NA,S Fernando,ICC Men's T20 World Cup Sub Regional Europe Qualifier,8,NA,NA,NA
1276913,6,England,South Africa,male,2022,2022-07-27,"County Ground, Bristol",Bristol,South Africa,field,MM Ali,DJ Millns,M Burns,MJ Saggers,BC Broad,England,41,NA,NA,NA,AG Wharf,South Africa tour of England,1,NA,NA,NA
1307477,6,New Zealand,Scotland,male,2022,2022-07-27,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Edinburgh,Scotland,field,FH Allen,DA Haggo,Ryan Milne,DH Mclean,Wayne Noon,New Zealand,68,NA,NA,NA,NA,New Zealand tour of Scotland,1,NA,NA,NA
1321289,6,Guernsey,Austria,male,2022,2022-07-27,Tikkurila Cricket Ground,Vantaa,Guernsey,bat,Razmal Shigiwal,M Jameson,SB Ravindra,NA,K Gallagher,Austria,NA,2,NA,NA,S Fernando,ICC Men's T20 World Cup Sub Regional Europe Qualifier,9,NA,NA,NA
1321290,6,Switzerland,Estonia,male,2022,2022-07-27,Kerava National Cricket Ground,Kerava,Switzerland,bat,Faheem Nazir,A Paleker,S Kuchimanchi,NA,NA,Switzerland,31,NA,NA,NA,J Jensen,ICC Men's T20 World Cup Sub Regional Europe Qualifier,10,NA,NA,NA
1321291,6,Slovenia,Bulgaria,male,2022,2022-07-27,Tikkurila Cricket Ground,Vantaa,Bulgaria,field,IA De Silva,M Jameson,S Fernando,NA,K Gallagher,Bulgaria,NA,3,NA,NA,SB Ravindra,ICC Men's T20 World Cup Sub Regional Europe Qualifier,11,NA,NA,NA
1321292,6,France,Norway,male,2022,2022-07-27,Kerava National Cricket Ground,Kerava,France,bat,G Mckeon,A Paleker,J Jensen,NA,K Gallagher,France,11,NA,NA,NA,S Kuchimanchi,ICC Men's T20 World Cup Sub Regional Europe Qualifier,12,NA,NA,NA
1321293,6,Norway,Switzerland,male,2022,2022-07-28,Tikkurila Cricket Ground,Vantaa,Norway,bat,Ali Saleem,J Jensen,M Jameson,NA,K Gallagher,Norway,12,NA,NA,NA,S Kuchimanchi,ICC Men's T20 World Cup Sub Regional Europe Qualifier,13,D/L,NA,NA
1321294,6,Luxembourg,Bulgaria,male,2022,2022-07-28,Kerava National Cricket Ground,Kerava,Luxembourg,bat,SKS Gill,S Fernando,SB Ravindra,NA,K Gallagher,Luxembourg,21,NA,NA,NA,A Paleker,ICC Men's T20 World Cup Sub Regional Europe Qualifier,14,D/L,NA,NA
1321295,6,Czech Republic,Estonia,male,2022,2022-07-28,Tikkurila Cricket Ground,Vantaa,Czech Republic,bat,S Wickramasekara,J Jensen,S Kuchimanchi,NA,K Gallagher,Czech Republic,42,NA,NA,NA,M Jameson,ICC Men's T20 World Cup Sub Regional Europe Qualifier,15,NA,NA,NA
1321296,6,Slovenia,Guernsey,male,2022,2022-07-28,Kerava National Cricket Ground,Kerava,Guernsey,field,MWR Stokes,A Paleker,S Fernando,NA,K Gallagher,Guernsey,NA,9,NA,NA,SB Ravindra,ICC Men's T20 World Cup Sub Regional Europe Qualifier,16,NA,NA,NA
1276914,6,South Africa,England,male,2022,2022-07-28,"Sophia Gardens, Cardiff",Cardiff,England,field,RR Rossouw,DJ Millns,MJ Saggers,AG Wharf,BC Broad,South Africa,58,NA,NA,NA,M Burns,South Africa tour of England,2,NA,NA,NA
